RANKING, TEAM, MVA SCORE
1, central-florida, 0.8829
2, alabama, 0.8298
3, clemson, 0.7954
4, georgia, 0.7912
5, miami-fl, 0.7777
6, penn-state, 0.7630
7, oklahoma, 0.7481
8, ohio-state, 0.7420
9, wisconsin, 0.7371
10, florida-atlantic, 0.7279
11, boise-state, 0.7229
12, washington, 0.7214
13, memphis, 0.7048
14, notre-dame, 0.6840
15, toledo, 0.6820
16, southern-california, 0.6782
17, san-diego-state, 0.6715
18, troy, 0.6639
19, auburn, 0.6638
20, stanford, 0.6627
21, south-florida, 0.6583
22, louisiana-state, 0.6539
23, virginia-tech, 0.6421
24, michigan-state, 0.6265
25, texas-christian, 0.6263
26, south-carolina, 0.6055
27, washington-state, 0.6020
28, north-carolina-state, 0.5990
29, northwestern, 0.5906
30, fresno-state, 0.5879
31, oklahoma-state, 0.5866
32, louisville, 0.5683
33, mississippi-state, 0.5544
34, iowa-state, 0.5534
35, wake-forest, 0.5528
36, boston-college, 0.5511
37, army, 0.5477
38, southern-methodist, 0.5405
39, michigan, 0.5268
40, iowa, 0.5256
41, central-michigan, 0.5249
42, texas-tech, 0.5238
43, appalachian-state, 0.5210
44, arizona-state, 0.5192
45, texas-am, 0.5081
46, kansas-state, 0.5025
47, wyoming, 0.5012
48, kentucky, 0.4999
49, southern-mississippi, 0.4992
50, florida-international, 0.4969
51, northern-illinois, 0.4967
52, oregon, 0.4773
53, arizona, 0.4751
54, western-michigan, 0.4687
55, houston, 0.4678
56, louisiana-tech, 0.4670
57, ohio, 0.4656
58, tulane, 0.4578
59, akron, 0.4541
60, alabama-birmingham, 0.4539
61, missouri, 0.4466
62, west-virginia, 0.4456
63, texas, 0.4456
64, purdue, 0.4431
65, texas-san-antonio, 0.4407
66, utah, 0.4390
67, north-texas, 0.4378
68, marshall, 0.4328
69, duke, 0.4310
70, virginia, 0.4245
71, arkansas-state, 0.4226
72, utah-state, 0.4042
73, california, 0.4033
74, buffalo, 0.4021
75, colorado-state, 0.3993
76, mississippi, 0.3951
77, georgia-state, 0.3914
78, navy, 0.3907
79, florida-state, 0.3837
80, ucla, 0.3831
81, temple, 0.3736
82, georgia-tech, 0.3705
83, maryland, 0.3568
84, colorado, 0.3533
85, pittsburgh, 0.3508
86, new-mexico-state, 0.3497
87, middle-tennessee-state, 0.3440
88, vanderbilt, 0.3331
89, indiana, 0.3326
90, miami-oh, 0.3320
91, minnesota, 0.3312
92, nevada-las-vegas, 0.3256
93, eastern-michigan, 0.3219
94, arkansas, 0.3202
95, florida, 0.3197
96, air-force, 0.3009
97, western-kentucky, 0.2926
98, idaho, 0.2887
99, old-dominion, 0.2841
100, south-alabama, 0.2815
101, tennessee, 0.2784
102, massachusetts, 0.2772
103, nebraska, 0.2742
104, cincinnati, 0.2712
105, louisiana-lafayette, 0.2631
106, syracuse, 0.2625
107, louisiana-monroe, 0.2481
108, rutgers, 0.2439
109, nevada, 0.2431
110, north-carolina, 0.2194
111, hawaii, 0.2163
112, brigham-young, 0.2051
113, tulsa, 0.1960
114, east-carolina, 0.1953
115, connecticut, 0.1836
116, bowling-green-state, 0.1834
117, georgia-southern, 0.1756
118, coastal-carolina, 0.1748
119, new-mexico, 0.1388
120, kent-state, 0.1367
121, illinois, 0.1291
122, ball-state, 0.1177
123, texas-state, 0.0766
124, charlotte, 0.0688
125, baylor, 0.0556
126, oregon-state, 0.0449
127, texas-el-paso, 0.0139
128, kansas, 0.0120
129, san-jose-state, -0.0091
130, rice, -0.0226
